device_char_link_id;timestamp;value;is_sync;id
42;2023-05-16T03:04:25.448061;30;1;6043
42;2023-05-16T03:04:26.479685;58;1;6044
42;2023-05-16T03:04:27.498169;39;1;6046
42;2023-05-16T03:04:28.521766;12;1;6048
42;2023-05-16T03:04:29.541506;92;1;6050
42;2023-05-16T03:04:30.521615;26;1;6052
42;2023-05-16T03:04:31.542768;50;1;6054
42;2023-05-16T03:04:32.563868;61;1;6056
42;2023-05-16T03:04:33.595343;5;1;6058
42;2023-05-16T03:04:34.571436;24;1;6060
42;2023-05-16T03:04:35.601513;28;1;6062
42;2023-05-16T03:04:36.624089;84;1;6064
42;2023-05-16T03:04:37.645216;69;1;6066
42;2023-05-16T03:04:38.667452;67;1;6068
42;2023-05-16T03:04:39.654002;88;1;6070
42;2023-05-16T03:04:40.673231;96;1;6072
42;2023-05-16T03:04:41.690619;66;1;6074
42;2023-05-16T03:04:42.720701;36;1;6076
42;2023-05-16T03:04:43.678640;92;1;6078
42;2023-05-16T03:04:44.718811;54;1;6080
42;2023-05-16T03:04:45.745078;94;1;6082
42;2023-05-16T03:04:46.768031;27;1;6084
42;2023-05-16T03:04:47.741952;8;1;6086
42;2023-05-16T03:04:48.767087;50;1;6088
42;2023-05-16T03:04:49.793410;9;1;6090
42;2023-05-16T03:04:50.815245;97;1;6092
42;2023-05-16T03:04:51.777369;95;1;6094
42;2023-05-16T03:04:52.799597;12;1;6096
42;2023-05-16T03:04:53.839555;88;1;6098
42;2023-05-16T03:04:54.861534;55;1;6100
42;2023-05-16T03:04:55.836556;49;1;6102
42;2023-05-16T03:04:56.841047;92;1;6104
42;2023-05-16T03:04:57.882749;58;1;6106
42;2023-05-16T03:04:58.894941;16;1;6108
42;2023-05-16T03:04:59.932460;98;1;6110
42;2023-05-16T03:05:00.952446;91;1;6112
42;2023-05-16T03:05:01.928348;9;1;6114
42;2023-05-16T03:05:02.940606;36;1;6116
42;2023-05-16T03:05:03.966464;67;1;6118
42;2023-05-16T03:05:04.945856;26;1;6120
42;2023-05-16T03:05:05.977991;29;1;6122
42;2023-05-16T03:05:06.998739;93;1;6124
42;2023-05-16T03:05:08.021960;12;1;6126
42;2023-05-16T03:05:09.046125;61;1;6128
42;2023-05-16T03:05:10.060339;50;1;6130
42;2023-05-16T03:05:11.046939;57;1;6132
42;2023-05-16T03:05:12.054658;30;1;6134
42;2023-05-16T03:05:13.081804;58;1;6136
42;2023-05-16T03:05:14.119446;26;1;6138
42;2023-05-16T03:05:15.140966;44;1;6140
42;2023-05-16T03:05:16.117151;88;1;6142
42;2023-05-16T03:05:17.142816;37;1;6144
42;2023-05-16T03:05:18.163267;69;1;6146
42;2023-05-16T03:05:19.188126;44;1;6148
42;2023-05-16T03:05:20.159419;80;1;6150
42;2023-05-16T03:05:21.182090;37;1;6152
42;2023-05-16T03:05:22.208784;4;1;6154
42;2023-05-16T03:05:23.220298;25;1;6156
42;2023-05-16T03:05:24.246305;89;1;6158
