device_char_link_id;timestamp;value;is_sync;id
49;2023-05-16T04:14:51.078849;22;1;10959
49;2023-05-16T04:14:51.994468;53;1;10961
49;2023-05-16T04:14:53.018251;63;1;10963
49;2023-05-16T04:14:54.047109;44;1;10965
49;2023-05-16T04:14:55.083429;90;1;10967
49;2023-05-16T04:14:56.098859;16;1;10969
49;2023-05-16T04:14:57.067326;97;1;10971
49;2023-05-16T04:14:58.095721;30;1;10973
49;2023-05-16T04:14:59.127803;15;1;10975
49;2023-05-16T04:15:00.100718;31;1;10977
49;2023-05-16T04:15:01.121731;90;1;10979
49;2023-05-16T04:15:02.173614;95;1;10981
49;2023-05-16T04:15:03.168347;36;1;10983
49;2023-05-16T04:15:04.138182;50;1;10985
49;2023-05-16T04:15:05.175355;12;1;10987
49;2023-05-16T04:15:06.202785;39;1;10989
49;2023-05-16T04:15:07.155080;19;1;10992
49;2023-05-16T04:15:08.284534;40;1;10996
49;2023-05-16T04:15:09.208394;81;1;10998
49;2023-05-16T04:15:10.240514;87;1;11001
49;2023-05-16T04:15:11.215815;15;1;11004
49;2023-05-16T04:15:12.240636;43;1;11007
49;2023-05-16T04:15:13.267075;61;1;11010
49;2023-05-16T04:15:14.235153;51;1;11013
49;2023-05-16T04:15:15.255876;95;1;11016
49;2023-05-16T04:15:16.285013;63;1;11019
49;2023-05-16T04:15:17.310772;27;1;11022
49;2023-05-16T04:15:18.290717;86;1;11025
49;2023-05-16T04:15:19.307951;21;1;11028
49;2023-05-16T04:15:20.338305;63;1;11031
49;2023-05-16T04:15:21.307869;67;1;11034
49;2023-05-16T04:15:22.318554;74;1;11037
49;2023-05-16T04:15:23.356331;2;1;11040
49;2023-05-16T04:15:24.384007;6;1;11043
49;2023-05-16T04:15:25.343264;93;1;11046
49;2023-05-16T04:15:26.365952;78;1;11049
49;2023-05-16T04:15:27.580764;99;1;11053
49;2023-05-16T04:15:28.420530;35;1;11055
49;2023-05-16T04:15:29.402960;13;1;11058
49;2023-05-16T04:15:30.464532;24;1;11062
49;2023-05-16T04:15:31.485587;88;1;11065
49;2023-05-16T04:15:32.428214;59;1;11067
49;2023-05-16T04:15:33.452863;55;1;11070
